"CO_MUNICIPIO_PROVA";"SG_UF_PROVA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
2103307;"MA";455,538653933606;465,71393514461;487,010770577933;474,245748067303;610,531309297913;495,369050835149
2103406;"MA";449,58672752809;455,183903420523;477,424932975871;470,010252808989;625,562218890555;491,24295257181
2103505;"MA";445,783692596064;454,396246648794;475,124843610366;472,463261480787;632,696177062374;491,155862325305
2103604;"MA";454,344425675676;461,09768;483,057394084732;472,244847972973;649,582608695652;500,102157252718
2103703;"MA";451,013006396588;454,360404040404;476,745891783567;460,927078891258;597,516930022573;484,245073333333
2103802;"MA";462,582898289829;480,334173913043;495,47052173913;494,625832583258;680,112254443405;519,107065625903
2104008;"MA";447,607379518072;460,187187039764;481,619734904271;469,393674698795;638,243902439024;495,649477028348
2104057;"MA";456,768715846995;463,916688227684;486,729715762274;480,781830601093;617,162921348315;497,594922779923
2104099;"MA";443,067981790592;442,374374079529;462,098676470588;462,781031866464;603,449367088608;479,90079795022
2104677;"MA";449,549520766773;450,464670658683;479,529041916168;466,261661341853;617,689768976898;489,102941468254
2104800;"MA";455,656329113924;460,665232067511;482,935244519393;466,987703435805;605,753676470588;491,7296133445
2105005;"MA";438,370652173913;446,167430025445;466,027664974619;447,72472826087;583,695652173913;474,343024534687
2105104;"MA";441,464454443195;440,18539445629;462,686808510638;453,455455568054;578,365384615385;471,585577192982
2105302;"MA";489,303564661298;505,161431948666;516,8624985944;519,643564239195;680,109785202864;539,332725593372
2105401;"MA";446,682970137207;454,471767406274;477,4820473644;468,588781275222;607,172061328791;486,885001262626
2105427;"MA";461,17581120944;472,027142857143;494,898;478,141297935103;613,684210526316;501,232018043685
2105500;"MA";463,302101359703;476,848300117233;492,465416178195;485,579728059333;645,490683229814;510,064769711163
2105708;"MA";453,698338870432;468,338862928349;484,814552529183;474,962458471761;627,876769358868;499,212319121447
2106326;"MA";446,744035087719;447,443594009983;471,694352159468;461,65350877193;594,549019607843;479,250917634052
2106508;"MA";443,239123376623;441,121109399076;467,156595092025;460,096428571429;597,560975609756;476,875542871639
2106805;"MA";444,845520231214;447,360055478502;472,270873786408;449,795953757225;577,860465116279;475,510371900826
2107001;"MA";455,833718689788;464,452059925094;482,814419475655;470,071868978805;609,631147540984;493,608240223464
2107506;"MA";468,125008130081;482,27988293284;503,017893440099;483,56481300813;627,702435813035;510,443695607867
